vertrag;opbel;tariftyp;classe;anlage;anomes;vkont;city1;ClasseTxt;Subclasse;Modalidade;Subgrupo;tipofat;Consumo;Demanda;billing_period;DiasFatura;De;Ate;belnr;ablbelnr;MotivoLeitura;UnidadeLeitura;eq1;Registrador;DataLeitura;TipoLeitura;Leitura;StatusLeitura;NotaDeLeitura;Medicao;FlagGD;Operando;Fator;DataAte;DataDe;InscricaoEstadual;DataLigacaoUC;DataEncerramentoContrato
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;21;26/09/2022;1;0;1; ;-21241;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;21;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;22;26/09/2022;1;114;1; ;114;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;22;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;22;30/09/2022;1;187;4; ;-47084;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;22;31/10/2022;1;996;1; ;-15753;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;23;26/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;23;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;22;T45MU90X;16389969;24;26/09/2022;1;968;4; ;968;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;24;30/09/2022;1;1108;4; ;-20;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;24;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;24;31/10/2022;1;8239;4; ;-216272;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;1;T45MU90X;16689174;25;31/10/2022;1;62;1; ;55;Com GD;NA;null;null;null; ;20220826;99991231
502353305;30005077369;V4;310;161036389;202210;2,90E+11;MUNIZ FREIRE;Comercial;Comercial;Verde;A4;faturado;0;0.03;2022/09;36;25/08/2022;30/09/2022;5,00E+11;6,00E+19;21;T45MU90X;16689174;25;27/09/2022;1;0;1; ;0;Com GD;NA;null;null;null; ;20220826;99991231
